Date/Time,Target_S1 BACK:Zone People Occupant Count,Target_S1 CORE:Zone People Occupant Count,Target_S1 FRONT:Zone People Occupant Count,Target_S1 LEFT:Zone People Occupant Count,Target_S1 RIGHT:Zone People Occupant Count,Target_S1 BACK:Zone Infiltration Air Change,Target_S1 CORE:Zone Infiltration Air Change,Target_S1 FRONT:Zone Infiltration Air Change,Target_S1 LEFT:Zone Infiltration Air Change,Target_S1 RIGHT:Zone Infiltration Air Change,Baseline_S1 BACK:Zone People Occupant Count,Baseline_S1 CORE:Zone People Occupant Count,Baseline_S1 FRONT:Zone People Occupant Count,Baseline_S1 LEFT:Zone People Occupant Count,Baseline_S1 RIGHT:Zone People Occupant Count,Baseline_S1 BACK:Zone Infiltration Air Change,Baseline_S1 CORE:Zone Infiltration Air Change,Baseline_S1 FRONT:Zone Infiltration Air Change,Baseline_S1 LEFT:Zone Infiltration Air Change,Baseline_S1 RIGHT:Zone Infiltration Air Change
 01/01  11:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/01  12:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/01  13:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/01  14:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/01  15:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/01  16:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/01  17:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/01  18:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/01  19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/01  24:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/02  01:00:00,0,0,0,0,0,2.580165194,2.582047402,2.580478595,2.580282925,2.580280869,0,0,0,0,0,1.03775928,1.039110894,1.037918049,1.037764578,1.037763719
 01/02  02:00:00,0,0,0,0,0,2.573198707,2.574487145,2.573509856,2.573348552,2.573351544,0,0,0,0,0,1.035719298,1.036856545,1.035866175,1.035733555,1.035734696
 01/02  03:00:00,0,0,0,0,0,2.569916359,2.57142565,2.570209198,2.570026886,2.570030151,0,0,0,0,0,1.034508008,1.035658454,1.034645042,1.034514889,1.034516147
 01/02  04:00:00,0,0,0,0,0,2.567861483,2.569477246,2.5681279,2.56794398,2.567947121,0,0,0,0,0,1.033834822,1.034997335,1.033959952,1.033835419,1.033836563
 01/02  05:00:00,0,0,0,0,0,2.563758386,2.56551629,2.56399315,2.563809609,2.563801846,0,0,0,0,0,1.032248432,1.033440468,1.032359519,1.032241382,1.032238114
 01/02  06:00:00,0,0,0,0,0,2.578177952,2.579100601,2.578373238,2.578205691,2.578199012,0,0,0,0,0,1.035794576,1.036513203,1.035894392,1.035799801,1.035795775
 01/02  07:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,2.585499074,2.58617689,2.585652221,2.585533864,2.585525208,1.095368,3.935715328,1.095368,0.685412,0.685412,1.038563918,1.039195219,1.038650469,1.038570449,1.038565654
 01/02  08:00:00,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376,0.778471804,0.779239947,0.778541674,0.778443554,0.778456897,2.190736,7.871430656,2.190736,1.370824,1.370824,0.260122225,0.260438082,0.260147221,0.260112234,0.260114825
 01/02  09:00:00,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,0.78092021,0.78206336,0.781032059,0.780850637,0.78092323,10.405996,37.38929562,10.405996,6.511414,6.511414,0.260965765,0.261449788,0.261001329,0.260937345,0.260956484
 01/02  10:00:00,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,0.782702234,0.783900965,0.782903871,0.782621491,0.782744189,10.405996,37.38929562,10.405996,6.511414,6.511414,0.261623254,0.262148062,0.261682904,0.261588887,0.261623251
 01/02  11:00:00,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,0.783792652,0.785014767,0.784054993,0.78370671,0.783824623,10.405996,37.38929562,10.405996,6.511414,6.511414,0.262003581,0.262553828,0.262082343,0.261965103,0.262000381
 01/02  12:00:00,16.27992993,58.4946518,16.27992993,10.18695026,10.18695026,0.78560952,0.786909562,0.785901238,0.785513841,0.785599798,10.405996,37.38929562,10.405996,6.511414,6.511414,0.262726815,0.263311336,0.262815236,0.26268407,0.262710994
 01/02  13:00:00,7.513809766,26.99751706,7.513809766,4.701666818,4.701666818,0.784484589,0.785641071,0.784819974,0.784413261,0.784454513,5.47684,19.67857664,5.47684,3.42706,3.42706,0.262492383,0.263057523,0.262592755,0.262454035,0.262468693
 01/02  14:00:00,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462,0.784843741,0.786140992,0.785174136,0.784799263,0.784792979,10.405996,37.38929562,10.405996,6.511414,6.511414,0.262536849,0.263135161,0.262637347,0.262506476,0.262507554
 01/02  15:00:00,17.53222279,62.99420648,17.53222279,10.97055591,10.97055591,0.785272863,0.786534331,0.785561884,0.785264531,0.785224456,10.405996,37.38929562,10.405996,6.511414,6.511414,0.262644627,0.263233974,0.262735589,0.262625606,0.262616663
 01/02  16:00:00,11.27070588,40.49624409,11.27070588,7.052494742,7.052494742,0.784524649,0.785616924,0.784754031,0.784552775,0.784499455,10.405996,37.38929562,10.405996,6.511414,6.511414,0.262588345,0.263156938,0.262664469,0.262577426,0.262564176
 01/02  17:00:00,12.52301628,44.99586177,12.52301628,7.836111364,7.836111364,0.784160205,0.785291307,0.784326139,0.784184983,0.784147703,10.405996,37.38929562,10.405996,6.511414,6.511414,0.26252938,0.26308838,0.26258805,0.262519177,0.262509718
 01/02  18:00:00,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,0.784119521,0.785112695,0.784229898,0.784110947,0.784119105,3.286104,11.80714598,3.286104,2.056236,2.056236,0.262139225,0.262562486,0.262182523,0.262133222,0.26213622
 01/02  19:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,0.781319289,0.782113421,0.781421218,0.781317009,0.781330788,1.095368,3.935715328,1.095368,0.685412,0.685412,0.261347183,0.261697003,0.261388585,0.261343771,0.261348946
 01/02  20:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,2.589976423,2.590988497,2.590319673,2.590075555,2.590116559,1.095368,3.935715328,1.095368,0.685412,0.685412,1.041360653,1.042284633,1.041509341,1.041371287,1.041389034
 01/02  21:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,2.589058617,2.589869394,2.589400663,2.589174029,2.58920817,1.095368,3.935715328,1.095368,0.685412,0.685412,1.040947684,1.041748935,1.041089825,1.040966699,1.040981577
 01/02  22:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,2.590249468,2.591003308,2.590570698,2.590358366,2.590384466,1.095368,3.935715328,1.095368,0.685412,0.685412,1.041409906,1.042178617,1.041540661,1.041429805,1.041440954
 01/02  23:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,2.58972632,2.590296598,2.590024391,2.589842841,2.589867529,0.547684,1.967857664,0.547684,0.342706,0.342706,1.04107365,1.041750183,1.041197432,1.041099566,1.041110208
 01/02  24:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,2.585471265,2.586037391,2.585742747,2.585575108,2.585597992,0.547684,1.967857664,0.547684,0.342706,0.342706,1.039021078,1.039659574,1.03913942,1.039051062,1.039061414
 01/03  01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/03  02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/03  03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/03  04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/03  05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/03  06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/03  07:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,0,0,0,0,0,1.095368,3.935715328,1.095368,0.685412,0.685412,0,0,0,0,0
 01/03  08:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,0,0,0,0,0,1.095368,3.935715328,1.095368,0.685412,0.685412,0,0,0,0,0
 01/03  09:00:00,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064,0,0,0,0,0,3.286104,11.80714598,3.286104,2.056236,2.056236,0,0,0,0,0
 01/03  10:00:00,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064,0,0,0,0,0,3.286104,11.80714598,3.286104,2.056236,2.056236,0,0,0,0,0
 01/03  11:00:00,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064,0,0,0,0,0,3.286104,11.80714598,3.286104,2.056236,2.056236,0,0,0,0,0
 01/03  12:00:00,5.259672096,18.89828084,5.259672096,3.291170064,3.291170064,0,0,0,0,0,3.286104,11.80714598,3.286104,2.056236,2.056236,0,0,0,0,0
 01/03  13:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,0,0,0,0,0,1.095368,3.935715328,1.095368,0.685412,0.685412,0,0,0,0,0
 01/03  14:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,0,0,0,0,0,1.095368,3.935715328,1.095368,0.685412,0.685412,0,0,0,0,0
 01/03  15:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,0,0,0,0,0,1.095368,3.935715328,1.095368,0.685412,0.685412,0,0,0,0,0
 01/03  16:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,0,0,0,0,0,1.095368,3.935715328,1.095368,0.685412,0.685412,0,0,0,0,0
 01/03  17:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,0,0,0,0,0,1.095368,3.935715328,1.095368,0.685412,0.685412,0,0,0,0,0
 01/03  18:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/03  19:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/03  20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/03  21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/03  22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/03  23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/03  24:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  07:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  08:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  09:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  10:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  11:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  12:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  13:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  14:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  15:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  16:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  17:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  18:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,0,0,0,0,0,0.547684,1.967857664,0.547684,0.342706,0.342706,0,0,0,0,0
 01/04  19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/04  24:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 01/05  01:00:00,0,0,0,0,0,2.603646458,2.60584527,2.608905198,2.605896277,2.6049845,0,0,0,0,0,1.049241231,1.050816521,1.0514399,1.050094738,1.049742391
 01/05  02:00:00,0,0,0,0,0,2.594618594,2.596126435,2.599467793,2.596827306,2.595920743,0,0,0,0,0,1.046270405,1.047612073,1.048360536,1.047126072,1.04676747
 01/05  03:00:00,0,0,0,0,0,2.600364419,2.60183968,2.604954425,2.602496392,2.601609327,0,0,0,0,0,1.049481071,1.050802457,1.0514896,1.050324021,1.049965239
 01/05  04:00:00,0,0,0,0,0,2.609287925,2.610376068,2.613678296,2.611406124,2.610534321,0,0,0,0,0,1.054472204,1.055685307,1.056415647,1.055319698,1.054960721
 01/05  05:00:00,0,0,0,0,0,2.608213459,2.609177368,2.612363341,2.610266388,2.609428263,0,0,0,0,0,1.054228299,1.055364862,1.056086565,1.05506394,1.054713288
 01/05  06:00:00,0,0,0,0,0,2.632551425,2.632868909,2.635213758,2.6338086,2.633308928,0,0,0,0,0,1.060267804,1.060815264,1.061571288,1.060875693,1.060630358
 01/05  07:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,2.641526137,2.641546851,2.643936913,2.642657983,2.64220052,1.095368,3.935715328,1.095368,0.685412,0.685412,1.063690284,1.06412873,1.064860188,1.064251403,1.064025984
 01/05  08:00:00,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376,0.801447246,0.802185498,0.802282824,0.801791357,0.801696907,2.190736,7.871430656,2.190736,1.370824,1.370824,0.268119436,0.268425156,0.268445086,0.268259279,0.268211466
 01/05  09:00:00,15.07772668,54.17507174,15.07772668,9.434687517,9.434687517,0.801370398,0.802563747,0.802557279,0.801684283,0.80198021,10.405996,37.38929562,10.405996,6.511414,6.511414,0.267902755,0.268377928,0.268316841,0.268025877,0.268089183
 01/05  10:00:00,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478,0.796590648,0.797891131,0.798365864,0.796870703,0.797519351,10.405996,37.38929562,10.405996,6.511414,6.511414,0.266335714,0.266886102,0.26693846,0.266445655,0.266622662
 01/05  11:00:00,17.53224032,62.99426947,17.53224032,10.97056688,10.97056688,0.793076724,0.794597707,0.795857874,0.793330111,0.794072077,10.405996,37.38929562,10.405996,6.511414,6.511414,0.265044579,0.265673334,0.265946697,0.265147117,0.265301085
 01/05  12:00:00,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478,0.788956446,0.790649297,0.792653126,0.789198371,0.789526623,10.405996,37.38929562,10.405996,6.511414,6.511414,0.263825046,0.264565164,0.265020434,0.263922735,0.26395796
 01/05  13:00:00,8.064830547,28.97736396,8.064830547,5.046460765,5.046460765,0.786820536,0.788659991,0.791126183,0.787041046,0.787103968,5.47684,19.67857664,5.47684,3.42706,3.42706,0.263220171,0.264040001,0.26463537,0.263315831,0.263311473
 01/05  14:00:00,16.83095071,60.47449869,16.83095071,10.5317442,10.5317442,0.78683292,0.788851222,0.791356088,0.787268316,0.787092158,10.405996,37.38929562,10.405996,6.511414,6.511414,0.263244714,0.264123734,0.264748635,0.263329838,0.263323773
 01/05  15:00:00,12.44789063,44.72593132,12.44789063,7.789102485,7.789102485,0.784899067,0.786765938,0.78916593,0.786001845,0.785216296,10.405996,37.38929562,10.405996,6.511414,6.511414,0.26267873,0.263532879,0.264112108,0.262927901,0.262781973
 01/05  16:00:00,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478,0.782854602,0.784591174,0.786468987,0.784428037,0.783206424,10.405996,37.38929562,10.405996,6.511414,6.511414,0.262043442,0.262851244,0.263299497,0.262491074,0.26216551
 01/05  17:00:00,16.6556283,59.844556,16.6556283,10.42203854,10.42203854,0.784154351,0.785880136,0.786870605,0.785571923,0.784509477,10.405996,37.38929562,10.405996,6.511414,6.511414,0.262375716,0.263139066,0.263355618,0.262812969,0.262500981
 01/05  18:00:00,6.311606515,22.67793701,6.311606515,3.949404077,3.949404077,0.783898957,0.785156779,0.785838389,0.784603331,0.784264224,3.286104,11.80714598,3.286104,2.056236,2.056236,0.262200742,0.262777553,0.262916524,0.262456611,0.262333593
 01/05  19:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,0.784700078,0.785753509,0.786557767,0.785266599,0.785075486,1.095368,3.935715328,1.095368,0.685412,0.685412,0.262425954,0.262879897,0.263099488,0.262625201,0.262564283
 01/05  20:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,2.606895156,2.608425972,2.612877237,2.608798949,2.608183384,1.095368,3.935715328,1.095368,0.685412,0.685412,1.04887318,1.050074807,1.051540436,1.04964458,1.049404348
 01/05  21:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,2.605809972,2.607048803,2.61149693,2.607721878,2.607055555,1.095368,3.935715328,1.095368,0.685412,0.685412,1.048321528,1.049359433,1.05092872,1.049119979,1.048855202
 01/05  22:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,2.611564769,2.612662545,2.617054812,2.613491103,2.612768782,1.095368,3.935715328,1.095368,0.685412,0.685412,1.050696012,1.051690135,1.053245656,1.051519695,1.051227093
 01/05  23:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,2.619412662,2.620124805,2.624761239,2.621396972,2.620633021,0.547684,1.967857664,0.547684,0.342706,0.342706,1.054136195,1.054977772,1.05663708,1.054987459,1.054666134
 01/05  24:00:00,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,2.617838156,2.6183481,2.622899824,2.619771535,2.619001595,0.547684,1.967857664,0.547684,0.342706,0.342706,1.05336794,1.05409723,1.055776187,1.054226667,1.053897163
 01/06  01:00:00,0,0,0,0,0,2.600503779,2.601558345,2.607428062,2.603406427,2.60226624,0,0,0,0,0,1.049811534,1.051022431,1.052919583,1.050991194,1.050505387
 01/06  02:00:00,0,0,0,0,0,2.602841192,2.603833117,2.609737129,2.605790861,2.604620057,0,0,0,0,0,1.051882384,1.053136315,1.055035844,1.053124979,1.052623826
 01/06  03:00:00,0,0,0,0,0,2.595569864,2.596886726,2.602178181,2.598381847,2.59724925,0,0,0,0,0,1.049144441,1.050447538,1.052196995,1.050356808,1.04986555
 01/06  04:00:00,0,0,0,0,0,2.591575276,2.593251309,2.597904123,2.594245307,2.593143998,0,0,0,0,0,1.047486654,1.048888438,1.050428972,1.048654786,1.048173806
 01/06  05:00:00,0,0,0,0,0,2.597728779,2.599212677,2.603838928,2.600359202,2.599267685,0,0,0,0,0,1.050606827,1.051992783,1.05346323,1.051760997,1.051281257
 01/06  06:00:00,0,0,0,0,0,2.627139426,2.627455377,2.631095114,2.62885835,2.62817357,0,0,0,0,0,1.058652052,1.059303313,1.060687358,1.059514476,1.059171146
 01/06  07:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,2.634240493,2.634373194,2.637823498,2.635775279,2.635192817,1.095368,3.935715328,1.095368,0.685412,0.685412,1.061042101,1.061608774,1.06288528,1.061840065,1.061529152
 01/06  08:00:00,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376,0.796280281,0.797145173,0.797543237,0.796771268,0.796628228,2.190736,7.871430656,2.190736,1.370824,1.370824,0.266425637,0.266779111,0.266925872,0.266625153,0.266558043
 01/06  09:00:00,15.07772668,54.17507174,15.07772668,9.434687517,9.434687517,0.795683601,0.79702478,0.797413819,0.796125439,0.796502356,10.405996,37.38929562,10.405996,6.511414,6.511414,0.266067277,0.266605997,0.266690488,0.266247577,0.266330075
 01/06  10:00:00,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478,0.790058766,0.791477884,0.79233025,0.790465353,0.791146396,10.405996,37.38929562,10.405996,6.511414,6.511414,0.264201666,0.264808468,0.265003712,0.264367132,0.264553668
 01/06  11:00:00,17.53224032,62.99426947,17.53224032,10.97056688,10.97056688,0.785671503,0.787300251,0.788518545,0.786035552,0.786631357,10.405996,37.38929562,10.405996,6.511414,6.511414,0.262581435,0.26326223,0.263549907,0.262732244,0.262856779
 01/06  12:00:00,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478,0.77992419,0.781686391,0.78351828,0.780246975,0.780522952,10.405996,37.38929562,10.405996,6.511414,6.511414,0.260785631,0.261564096,0.26198264,0.260922331,0.260948778
 01/06  13:00:00,8.064830547,28.97736396,8.064830547,5.046460765,5.046460765,0.774992747,0.776845439,0.778624927,0.775297224,0.775347194,5.47684,19.67857664,5.47684,3.42706,3.42706,0.259182361,0.260022165,0.260418779,0.259306119,0.259298571
 01/06  14:00:00,16.83095071,60.47449869,16.83095071,10.5317442,10.5317442,0.770675281,0.77273237,0.773970069,0.771057412,0.770972563,10.405996,37.38929562,10.405996,6.511414,6.511414,0.257711668,0.258603724,0.258850429,0.257829218,0.257810548
 01/06  15:00:00,12.44789063,44.72593132,12.44789063,7.789102485,7.789102485,0.766726991,0.768616978,0.769574971,0.767344496,0.767044268,10.405996,37.38929562,10.405996,6.511414,6.511414,0.256502332,0.257367236,0.25750908,0.256676376,0.256607683
 01/06  16:00:00,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478,0.76771048,0.76943836,0.769762108,0.768201279,0.76803673,10.405996,37.38929562,10.405996,6.511414,6.511414,0.256854093,0.257673633,0.257647037,0.257016134,0.256966607
 01/06  17:00:00,16.6556283,59.844556,16.6556283,10.42203854,10.42203854,0.771157219,0.772885358,0.772907832,0.77157056,0.77150297,10.405996,37.38929562,10.405996,6.511414,6.511414,0.257890049,0.258655202,0.258572447,0.258032412,0.25801282
 01/06  18:00:00,6.311606515,22.67793701,6.311606515,3.949404077,3.949404077,0.770685927,0.772009279,0.772206675,0.771030532,0.771055906,3.286104,11.80714598,3.286104,2.056236,2.056236,0.257681161,0.258281924,0.258274259,0.257810694,0.257817229
 01/06  19:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,0.768233521,0.769362639,0.769723225,0.768565265,0.768611942,1.095368,3.935715328,1.095368,0.685412,0.685412,0.256819771,0.25731449,0.257392477,0.256947586,0.256962279
 01/06  20:00:00,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,2.546807384,2.549414934,2.55137902,2.547797394,2.547897315,1.095368,3.935715328,1.095368,0.685412,0.685412,1.022568178,1.024159203,1.024766508,1.023057172,1.023103745
